projectID	название проекта
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-Main
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
312874	R-MAIN
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
246866	R-MAIN_mobile
246866	R-MAIN_mobile
246866	R-MAIN_mobile
246866	R-MAIN_mobile
246866	R-MAIN_mobile
246866	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
245772	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
245772	R-News
245772	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
245772	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
447270	R-News
447270	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
245772	R-News
477729	R-News.app
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
400334	R-News_mobile
452034	R-News_mobile
147154	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
468454	Gazeta
468454	Gazeta
468454	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
468454	Gazeta
147154	Gazeta
468454	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
147154	Gazeta
468454	Gazeta
147154	Gazeta
147154	Gazeta
468454	Gazeta
468454	Gazeta
147154	Gazeta
468455	Gazeta_mobile
468455	Gazeta_mobile
468455	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
378003	Gazeta_mobile
468455	Gazeta_mobile
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
471447	Lenta
471447	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
425716	Lenta
447126	Lenta_mobile
447126	Lenta_mobile
447126	Lenta_mobile
447126	Lenta_mobile
447126	Lenta_mobile
447126	Lenta_mobile
447126	Lenta_mobile
471195	Secretmag
471195	Secretmag
480983	Secretmag
471195	Secretmag
471196	Secretmag_mobile
471196	Secretmag_mobile
458147	Moslenta
458147	Moslenta
458147	Moslenta
458147	Moslenta
469102	Moslenta-mobile
395709	Letidor
456416	Letidor
456416	Letidor
456416	Letidor
456416	Letidor
456416	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
395709	Letidor
456416	Letidor
447116	Motor
447116	Motor
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
461481	Quto
461481	Quto
461481	Quto
208120	Quto
461481	Quto
461481	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
208120	Quto
482566	Quto
482566	Quto
482566	Quto
482566	Quto
483892	Quto
208120	Quto
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
476027	R-Autorambler
476027	R-Autorambler
476027	R-Autorambler
476027	R-Autorambler
476027	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
452655	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
245776	R-Autorambler
248535	Ferra
248535	Ferra
248535	Ferra
248535	Ferra
248535	Ferra
248535	Ferra
416924	Ferra
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
437971	Eda
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
193783	Afisha
468651	Afisha_Mir
468651	Afisha_Mir
468651	Afisha_Mir
478103	Am.ru
478103	Am.ru
478103	Am.ru
478103	Am.ru
241499	Championat
241499	Championat
241499	Championat
241499	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
468024	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
241499	Championat
468024	Championat
468024	Championat
241499	Championat
241499	Championat
377935	Championat_mobile
377935	Championat_mobile
377935	Championat_mobile
377935	Championat_mobile
377935	Championat_mobile
377935	Championat_mobile
377935	Championat_mobile
7125	Livejournal
7125	Livejournal
7125	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
7125	Livejournal
457036	Livejournal
7125	Livejournal
457036	Livejournal
457036	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
457036	Livejournal
7125	Livejournal
7125	Livejournal
457036	Livejournal
457036	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
19812	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
134531	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
457036	Livejournal
7125	Livejournal
7125	Livejournal
457036	Livejournal
457036	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
7125	Livejournal
479138	Livejournal.app
480412	Livejournal.app
387058	Livejournal_mobile
387058	Livejournal_mobile
387058	Livejournal_mobile
387058	Livejournal_mobile
387058	Livejournal_mobile
199977	Nightparty
479853	Passion
479853	Passion
479853	Passion
479853	Passion
479853	Passion
479853	Passion
479853	Passion
479853	Passion
480676	Passion_mobile
480676	Passion_mobile
479853	Passion
186644	Passion
186644	Passion
186644	Passion
186644	Passion
400856	Price.ru
400856	Price.ru
245786	R-Audio
245786	R-Audio
245786	R-Audio
245786	R-Audio
245786	R-Audio
245786	R-Audio
245786	R-Audio
354299	Redigo
354299	Redigo
354299	Redigo
354299	Redigo
354299	Redigo
354299	Redigo
354299	Redigo
354299	Redigo
452247	R-errors_pages
467598	R-Family
467598	R-Family
467598	R-Family
467598	R-Family
467598	R-Family
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
245782	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
245782	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
452593	R-Finance
475909	R-finance_mobile
475909	R-finance_mobile
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
245778	R-Horoscopes
467613	R-Horoscopes.app
467613	R-Horoscopes.app
467613	R-Horoscopes.app
467613	R-Horoscopes.app
467614	R-Horoscopes.app
467614	R-Horoscopes.app
467614	R-Horoscopes.app
467614	R-Horoscopes.app
245777	R-Love
245777	R-Love
245777	R-Love
245777	R-Love
441325	R-Love_mobile
441325	R-Love_mobile
441325	R-Love_mobile
287428	R-Mail
466944	R-Mail
466944	R-Mail
466944	R-Mail
466944	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
287428	R-Mail
466944	R-Mail
466944	R-Mail
466944	R-Mail
466944	R-Mail
287428	R-Mail
287428	R-Mail
466944	R-Mail
471445	R-Money
471445	R-Money
471445	R-Money
471445	R-Money
471445	R-Money
471445	R-Money
475452	RNS.Online
475452	RNS.Online
475452	RNS.Online
480627	RNS.Online
475452	RNS.Online
475452	RNS.Online
478064	RNS.Online-mobile
458590	R-Realty
458590	R-Realty
458590	R-Realty
458590	R-Realty
458590	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
358684	R-Realty
458590	R-Realty
358684	R-Realty
458590	R-Realty
458590	R-Realty
358684	R-Realty
458590	R-Realty
458590	R-Realty
358684	R-Realty
458590	R-Realty
458590	R-Realty
358684	R-Realty
458590	R-Realty
458590	R-Realty
358684	R-Realty
458590	R-Realty
458590	R-Realty
279727	R-Search
230255	R-Search
304193	R-Search
460062	R-Search
230739	R-Search
230739	R-Search
244173	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
279727	R-Search
279727	R-Search
477326	R-Search
279727	R-Search
230255	R-Search
244173	R-Search
304193	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
230255	R-Search
245780	R-sport
245780	R-sport
245780	R-sport
245780	R-sport
245780	R-sport
245780	R-sport
245780	R-sport
245780	R-sport
245774	R-Top100
245774	R-Top100
245774	R-Top100
245774	R-Top100
245774	R-Top100
254977	R-Top100
254977	R-Top100
254977	R-Top100
254977	R-Top100
245774	R-Top100
254977	R-Top100
245774	R-Top100
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
459987	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
245779	R-TV
475907	R-TV_mobile
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
467768	R-Video
463515	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
467768	R-Video
463515	R-Video
463515	R-Video
467768	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
463515	R-Video
475908	R-Video_mobile
245775	R-Weather
452135	R-Weather
452135	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
452135	R-Weather
452135	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
452135	R-Weather
245775	R-Weather
245775	R-Weather
446720	R-Weekend
452033	R-Weekend
446720	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
446720	R-Weekend
452033	R-Weekend
446720	R-Weekend
446720	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
452033	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
452033	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
452033	R-Weekend
452033	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
446720	R-Weekend
452033	R-Weekend
479854	WMJ
479854	WMJ
479854	WMJ
479854	WMJ
479854	WMJ
479854	WMJ
479854	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
446	WMJ
447	WMJ
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
451341	R-MAIN_mobile
484659	WMJ_mobile
484659	WMJ_mobile
484659	WMJ_mobile
480627	RNS.Online
245780	R-sport
245780	R-sport
245780	R-sport
452655	R-Autorambler
458147	Moslenta
486136	R-Weather
245777	R-Love
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
452034	R-News_mobile
487080	R-Weekend_local_search 
487232	Championat_local_search
467768	R-Video
463515	R-Video
463515	R-Video
486247	Gazeta
489096	R-MAIN
489078	R-Horoscopes.mobile
489078	R-Horoscopes.mobile
489078	R-Horoscopes.mobile
488980	Indicator
245785	R-Games
490639	News.rambler_local_search 
0	Horoscopes.rambler_local_search 
471196	Secretmag_mobile
482567	Letidor
466944	R-Mail
466944	R-Mail
491231	Ferra
491231	Ferra
491231	Ferra
491231	Ferra
491231	Ferra
491231	Ferra
455349	Eda
452033	R-Weekend
492896	Championat
493336	Championat_mobile
312874	R-MAIN
186676	Passion
452247	R-errors_pages
452247	R-errors_pages
452247	R-errors_pages
452247	R-errors_pages
476406	R-News.app
476406	R-News.app
496889	R-Search
497337	Afisha_restorans
193785	Eda_mobile
493118	R-Weather_Adblock
493119	R-Weekend_Adblock
429531	R-Klass
500590	R-Weather_mobile
497181	Gazeta_mobile
501412	Motor
498660	Afisha_mobile
500655	R-News_Adblock
501443	R-Weekend_mobile
501439	R-MAIN_mobile
501440	Championat_mobile
501442	Passion_mobile
501441	Livejournal_mobile
502161	Lenta_mobile
502162	Gazeta_mobile
500654	R-MAIN_Adblock
